Q1,Q2,Q3,Q4,Q5,Q6
7.592758958,7.67755928,7.563313838,7.424521542,5.584481807,9.022165017
7.77836548,7.743823252,7.038277418,7.088487375,4.984721863,7.660770623
6.893205846,7.812566849,7.664368785,7.180867262,5.833378778,9.663021541
7.670345705,7.84185976,7.656693164,6.823074816,4.986133951,8.878886021
6.82012138,6.601048049,7.236519868,7.234848264,6.009834827,9.67149854
6.867403592,7.575030422,7.607319958,7.56965556,5.933668054,9.812895143
8.007921733,7.700910804,7.771067238,7.276365011,5.604488476,9.63617833
7.362345341,7.782523915,7.743864868,7.494636961,6.026454326,9.657355115
7.649649848,7.695734992,7.762232802,7.341836884,5.756923863,9.525787059
7.16110491,5.626774522,7.537173081,7.495603546,5.769902221,9.786187917
6.26939865,6.723375875,7.772148154,7.233229743,6.060511412,9.530256146
7.496115073,7.7128072,7.606609148,7.516463208,5.685940128,9.681243423
7.92087081,7.843982241,7.500215283,6.92627121,6.087328123,8.582729222
7.881946342,7.760505346,7.40062463,6.132849443,5.80528646,9.682152618
7.799508231,7.837593378,7.340691824,7.301102158,6.115871419,9.187444352
7.921238363,7.843255637,7.182446023,7.226905186,5.736301472,9.682898684
7.914110309,7.002650395,7.733102562,7.588123982,6.089447648,9.611514567
7.004364399,7.561660824,7.395729154,6.355369939,5.577181044,9.466875138
7.311909938,7.325555554,7.525137545,6.804590372,6.105393729,8.887889289
7.967055622,7.246603007,7.461448472,5.670527523,5.639948519,9.650169947
7.183835416,7.366345354,7.627657376,7.401810259,6.121603275,9.791855621
7.895290386,7.463468961,7.26508262,7.49091662,5.950717918,9.654360456
7.670337043,7.335095451,6.749062325,6.581587393,5.911946755,9.014858336
7.945137969,7.53995343,7.728655011,7.542477141,6.088401113,9.425968258
7.237934842,6.897596692,7.094756127,7.38896469,5.695591715,9.83148437
7.591546698,7.657564804,6.995110563,7.346238484,5.91205594,9.836487027
7.503294672,7.061247553,7.38821706,7.345736229,6.03948198,9.768266783
7.749336945,7.481017244,7.61122309,7.596213028,6.010622182,8.643231233
7.99765992,7.819163791,7.663410029,7.518359751,6.091215497,9.622327937
7.971233718,7.24398054,7.248123266,6.512198529,4.812776224,9.648834022
7.430990136,7.191224889,6.74589343,7.003350845,5.744434725,9.477311896
7.932037825,7.109871,7.422078994,7.441103811,5.576250771,9.462800971
7.792992226,7.280282295,7.810679882,6.984087673,6.084480799,9.557042364
7.967762343,7.268513459,7.434536461,7.172299916,5.936692661,9.805502408
7.955830672,7.628045419,7.790711457,7.345766111,5.472521285,9.352631007
7.879542835,7.686862618,7.506387206,7.462332201,6.006754587,9.400431336
7.440960268,7.287685259,7.016946916,7.444723966,5.92118193,9.583227084
8.007450099,7.649304632,7.626304795,7.366686995,5.740106675,9.750934612
7.981712226,6.821028765,7.725736229,7.227306312,4.580197425,9.774596653
7.790865152,5.90041027,7.534420466,7.299083607,5.985467367,9.843321532
6.766615415,7.083157884,7.440516731,7.24689728,5.762510378,8.821000758
7.622690463,7.440097108,7.83547535,7.032105042,5.955804126,9.662004911
7.746145649,7.160115236,7.259618095,7.05354499,6.075660296,8.800063877
7.759927156,7.810770545,5.834142195,6.565719976,4.613683511,9.554756008
6.832896742,7.845442314,7.661280359,7.074276352,5.966302944,9.397435886
6.941850601,6.639631384,7.392579013,7.35269228,5.999959175,9.613988505
7.711519105,7.78481082,7.529814944,7.583402804,4.568554044,9.748857854
6.964529345,7.76369308,7.758491785,5.678452431,5.638072648,9.393417669
7.59931976,7.276155242,7.571541349,7.366190083,4.955200187,9.554762084
7.937319136,7.344013529,6.55267491,7.203454449,3.098724651,9.041847865
7.931087674,7.362261508,7.779918003,7.499480325,6.101828797,8.670392211
7.607018381,7.481950235,7.781619378,6.908081074,6.022434251,7.023024205
6.549868811,7.786854366,6.56523065,6.67173276,5.687923334,9.289398619
7.871496461,7.841606533,7.679051914,7.117046994,6.074174299,9.737586757
7.767153498,7.549171911,7.633578723,7.101946001,5.924814756,9.453486766
7.736233443,7.268062594,7.848392212,7.053756739,5.233904183,9.755777383
6.966115629,7.777411114,7.5484212,5.76248301,6.028689859,9.372295554
7.81679893,7.798489016,6.774567514,7.524197092,5.731909167,9.47210754
7.83190075,4.460435206,7.348221761,6.763628832,5.587684829,9.781991381
7.859376143,6.87673063,7.282059903,7.585803302,5.573999591,9.359448374
8.025741652,7.242446897,6.869516794,7.434036512,5.475961725,9.631576715
7.551187648,6.108147766,7.372923768,7.396176617,5.753025397,9.775363577
7.476176017,7.252830803,7.859526768,7.378085156,6.034801265,9.503001196
7.707522525,7.659590653,7.633188981,5.843808878,4.740745927,8.99713517
7.939886564,7.766716364,7.477062321,6.966900315,4.801699242,9.146287124
7.986253324,7.351416932,7.369762244,6.605676416,5.885483979,9.809097986
7.792519867,6.925114995,7.785109567,6.643700917,5.975943755,9.44446617
7.617779368,7.799870704,7.839429408,6.78918931,4.592615908,9.760534985
7.782462025,7.488967787,7.52082761,6.958059267,5.344920304,9.729235838
7.412490835,7.03922673,7.640579154,7.342344223,5.537730215,9.401613172
7.672994793,7.836475566,7.769022483,7.593564254,5.591910749,9.702764966
6.53929028,7.539808166,7.697494744,7.596472033,6.019531858,9.40003174
7.642971375,7.351170883,7.856594177,5.148961531,5.771602442,9.830172675
7.51937394,7.244183397,7.707585475,7.146598706,5.260224761,9.72013453
7.859289051,7.819765848,7.699015807,7.415301596,5.283638881,9.416229248
7.980059972,7.193579501,7.483318107,7.415033407,5.884470751,9.746867114
7.890531014,7.436493808,7.473043591,6.938085167,5.939215684,7.708385758
7.704226356,6.225455874,6.87175197,7.434066673,6.031946226,9.601977782
7.552590515,7.658101655,7.459783711,6.771502773,6.089519057,9.579092133
7.910553374,6.941166257,7.689402601,7.542752273,3.770476554,8.31711146
8.007403455,7.844022936,7.15403368,7.123593892,5.952686364,9.705902098
8.028387606,7.809390204,6.948389041,7.487556826,5.064621582,9.121017032
8.029411932,7.750332497,7.842003661,7.454995522,5.969681592,9.717594341
7.818016404,7.255158557,7.85442991,7.478619012,3.407805537,9.633794097
7.956200371,7.570024097,7.657063972,7.449070908,5.052718831,9.762595403
8.028260224,6.098073891,7.491207391,7.290616779,6.109231488,9.794692624
7.610141772,7.723975019,7.654800073,7.160235689,5.788154707,9.443839559
7.736235581,7.413976237,7.711219768,6.746527223,5.969190343,9.78502553
7.371697117,7.672808012,7.319827948,7.556258602,5.513924967,8.993143344
7.717279624,7.391053969,6.986431333,6.376347734,5.859169887,9.797854313
7.949463723,6.713126169,7.301895858,7.452206829,6.006912533,9.28574619
7.957516083,7.767703368,7.139950506,7.205879177,6.110382156,9.785422691
6.805729983,7.110784404,7.839007066,7.541849703,4.57602767,9.744945896
7.586388744,7.00536452,6.916407177,7.157191034,6.118579982,9.266564765
7.970569396,7.757411556,7.608241021,7.458986483,5.782072747,9.686432061
7.78667326,7.828090671,7.63080501,7.497974012,6.121395104,9.796341544
7.523226782,7.039511376,7.730201966,7.540820641,5.858392741,9.49628392
7.829434986,7.29347085,7.838032931,7.377859538,5.99376527,9.81460049
7.779447044,6.630583878,7.43513241,7.010182409,6.123001358,9.192264543
7.634427065,7.514985944,7.814817933,7.475615115,5.989891156,7.648100587
